,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,1,1,1,histoire,history
1,2,2,2,chercher,search
2,3,3,3,seulement,only
3,4,4,4,police,police
4,5,5,5,pensais,thought
5,6,6,6,aide,help
6,8,8,8,mois,month
7,9,9,9,frère,brother
8,10,10,10,laisser,let
9,11,11,11,car,because
10,12,12,12,mettre,to put
11,13,13,13,aucun,no
12,14,14,14,laisse,leash
13,15,15,15,eux,them
14,16,16,16,ville,city
15,17,17,17,chaque,each
16,18,18,18,parlé,speak
17,19,19,19,arrivé,come
18,20,20,20,devrait,should
19,21,21,21,bébé,baby
20,22,22,22,longtemps,long time
21,23,23,23,heures,hours
22,24,24,24,vont,will
23,25,25,25,pendant,while
24,26,26,26,revoir,meet again
25,27,27,27,aucune,any
26,28,28,28,place,square
27,29,29,29,parle,speak
28,30,30,30,compris,understood
29,31,31,31,savais,knew
30,32,32,32,étaient,were
31,33,33,33,attention,Warning
32,34,34,34,voici,here is
33,35,35,35,pourrais,could
34,36,36,36,affaire,case
35,37,37,37,donner,give
36,38,38,38,type,type
37,39,39,39,leurs,their
38,40,40,40,donné,given
39,41,41,42,corps,body
40,42,42,43,endroit,place
41,43,43,44,yeux,eyes
42,44,44,45,façon,way
43,45,45,46,écoute,listen
44,46,46,47,dont,whose
45,47,47,48,trouve,find
46,48,48,49,premier,first
47,49,49,50,perdu,lost
48,50,50,51,main,hand
49,51,51,52,première,first
50,52,52,53,côté,side
51,53,53,54,pouvoir,power
52,55,55,56,sois,be
53,56,56,57,tiens,here
54,57,57,58,matin,morning
55,58,58,59,tellement,so much
56,59,59,60,enfant,child
57,60,60,61,point,point
58,63,63,64,pardon,sorry
59,64,64,65,venez,come
60,65,65,66,devant,in front of
61,66,66,67,vers,towards
62,67,67,68,minutes,minutes
63,68,68,69,demandé,request
64,69,69,70,chambre,bedroom
65,70,70,71,mis,placed
66,71,71,72,belle,beautiful
67,72,72,73,droit,law
68,73,74,75,aujourd'hui,today
69,74,75,76,mari,husband
70,75,76,77,cause,cause
71,76,77,78,enfin,finally
72,77,78,79,espère,hope
73,78,79,80,eau,water
74,79,80,81,attendez,Wait
75,80,81,82,parti,left
76,81,82,83,nouvelle,new
77,82,83,84,boulot,job
78,83,84,85,arrêter,Stop
79,84,85,86,dirait,would say
80,85,86,87,terre,Earth
81,86,87,88,compte,account
82,87,88,89,donne,given
83,88,89,90,loin,far
84,89,90,91,fin,end
85,90,91,92,croire,believe
86,91,92,93,chérie,sweetheart
87,93,94,95,plutôt,rather
88,94,95,96,aura,will have
89,95,96,97,filles,girls
90,96,97,98,jouer,to play
91,97,98,99,bureau,office
