,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,French,English
0,0,1,1,1,histoire,history
1,1,2,2,2,chercher,search
2,2,3,3,3,seulement,only
3,3,4,4,4,police,police
4,4,5,5,5,pensais,thought
5,5,6,6,6,aide,help
6,6,8,8,8,mois,month
7,7,9,9,9,frère,brother
8,8,10,10,10,laisser,let
9,9,11,11,11,car,because
10,10,12,12,12,mettre,to put
11,12,14,14,14,laisse,leash
12,13,15,15,15,eux,them
13,14,16,16,16,ville,city
14,15,17,17,17,chaque,each
15,16,18,18,18,parlé,speak
16,17,19,19,19,arrivé,come
17,18,20,20,20,devrait,should
18,19,21,21,21,bébé,baby
19,20,22,22,22,longtemps,long time
20,21,23,23,23,heures,hours
21,22,24,24,24,vont,will
22,23,25,25,25,pendant,while
23,24,26,26,26,revoir,meet again
24,25,27,27,27,aucune,any
25,26,28,28,28,place,square
26,27,29,29,29,parle,speak
27,28,30,30,30,compris,understood
28,29,31,31,31,savais,knew
29,30,32,32,32,étaient,were
30,31,33,33,33,attention,Warning
31,32,34,34,34,voici,here is
32,33,35,35,35,pourrais,could
33,34,36,36,36,affaire,case
34,35,37,37,37,donner,give
35,37,39,39,39,leurs,their
36,38,40,40,40,donné,given
37,40,42,42,43,endroit,place
38,41,43,43,44,yeux,eyes
39,42,44,44,45,façon,way
40,43,45,45,46,écoute,listen
41,44,46,46,47,dont,whose
42,45,47,47,48,trouve,find
43,47,49,49,50,perdu,lost
44,48,50,50,51,main,hand
45,49,51,51,52,première,first
46,50,52,52,53,côté,side
47,51,53,53,54,pouvoir,power
48,52,55,55,56,sois,be
49,53,56,56,57,tiens,here
50,54,57,57,58,matin,morning
51,55,58,58,59,tellement,so much
52,56,59,59,60,enfant,child
53,57,60,60,61,point,point
54,58,63,63,64,pardon,sorry
55,59,64,64,65,venez,come
56,60,65,65,66,devant,in front of
57,61,66,66,67,vers,towards
58,62,67,67,68,minutes,minutes
59,63,68,68,69,demandé,request
60,64,69,69,70,chambre,bedroom
61,65,70,70,71,mis,placed
62,66,71,71,72,belle,beautiful
63,68,73,74,75,aujourd'hui,today
64,69,74,75,76,mari,husband
65,70,75,76,77,cause,cause
66,71,76,77,78,enfin,finally
67,72,77,78,79,espère,hope
68,73,78,79,80,eau,water
69,74,79,80,81,attendez,Wait
70,75,80,81,82,parti,left
71,76,81,82,83,nouvelle,new
72,77,82,83,84,boulot,job
73,79,84,85,86,dirait,would say
74,80,85,86,87,terre,Earth
75,81,86,87,88,compte,account
76,82,87,88,89,donne,given
77,83,88,89,90,loin,far
78,84,89,90,91,fin,end
79,85,90,91,92,croire,believe
80,86,91,92,93,chérie,sweetheart
81,87,93,94,95,plutôt,rather
82,88,94,95,96,aura,will have
83,89,95,96,97,filles,girls
84,90,96,97,98,jouer,to play
85,91,97,98,99,bureau,office
